case,chip,mixers,n_obstacles,succ_max,succ_min,succ_avg,avg_path,per_route_trial1,per_route_trial2,joint_success_trial1,joint_success_trial2,apl_trial1,apl_trial2,curve_img_trial1,curve_img_trial2,path_img_trial1,path_img_trial2
c1,10x10,2,5,98.0,97.0,97.5,97.0,97.0,98.0,95.0,98.0,96.0,98.0,10.355,9.219999999999999,results\reward_10x10_obs5_mix2_trial1.png,results\reward_10x10_obs5_mix2_trial2.png
c2,10x10,2,6,99.0,99.0,99.0,97.5,99.0,99.0,97.0,95.0,98.0,97.0,8.865,9.565000000000001,results\reward_10x10_obs6_mix2_trial1.png,results\reward_10x10_obs6_mix2_trial2.png
c3,10x10,2,7,99.0,97.0,98.0,98.0,99.0,97.0,99.0,97.0,99.0,97.0,8.635,10.254999999999999,results\reward_10x10_obs7_mix2_trial1.png,results\reward_10x10_obs7_mix2_trial2.png
c4,10x10,3,5,100.0,100.0,100.0,99.2,100.0,100.0,97.0,98.0,99.0,99.3,8.3,8.016666666666667,results\reward_10x10_obs5_mix3_trial1.png,results\reward_10x10_obs5_mix3_trial2.png
c5,10x10,3,6,100.0,100.0,100.0,99.3,100.0,100.0,99.0,98.0,99.3,99.3,7.973333333333334,7.843333333333333,results\reward_10x10_obs6_mix3_trial1.png,results\reward_10x10_obs6_mix3_trial2.png
c6,10x10,3,7,100.0,100.0,100.0,99.5,100.0,100.0,99.0,99.0,99.3,99.7,8.373333333333333,8.263333333333334,results\reward_10x10_obs7_mix3_trial1.png,results\reward_10x10_obs7_mix3_trial2.png
c7,12x12,2,5,97.0,93.0,95.0,94.2,97.0,93.0,95.0,92.0,96.0,92.5,12.365,15.165,results\reward_12x12_obs5_mix2_trial1.png,results\reward_12x12_obs5_mix2_trial2.png
c8,12x12,2,7,94.0,87.0,90.5,89.5,87.0,94.0,87.0,90.0,87.0,92.0,20.174999999999997,15.55,results\reward_12x12_obs7_mix2_trial1.png,results\reward_12x12_obs7_mix2_trial2.png
c9,12x12,2,9,90.0,89.0,89.5,88.8,90.0,89.0,90.0,86.0,90.0,87.5,17.1,19.42,results\reward_12x12_obs9_mix2_trial1.png,results\reward_12x12_obs9_mix2_trial2.png
c10,12x12,3,6,98.0,96.0,97.0,95.8,98.0,96.0,94.0,95.0,96.3,95.3,11.856666666666664,13.280000000000001,results\reward_12x12_obs6_mix3_trial1.png,results\reward_12x12_obs6_mix3_trial2.png
c11,12x12,3,8,98.0,98.0,98.0,94.2,98.0,98.0,93.0,91.0,95.0,93.3,13.396666666666667,14.61,results\reward_12x12_obs8_mix3_trial1.png,results\reward_12x12_obs8_mix3_trial2.png
c12,12x12,3,10,96.0,95.0,95.5,94.7,96.0,95.0,93.0,95.0,94.3,95.0,13.853333333333333,13.196666666666667,results\reward_12x12_obs10_mix3_trial1.png,results\reward_12x12_obs10_mix3_trial2.png
c13,15x15,3,5,97.0,93.0,95.0,92.7,93.0,97.0,88.0,92.0,91.0,94.3,20.289999999999996,16.529999999999998,results\reward_15x15_obs5_mix3_trial1.png,results\reward_15x15_obs5_mix3_trial2.png
c14,15x15,3,7,93.0,91.0,92.0,90.3,93.0,91.0,89.0,88.0,91.0,89.7,19.99,21.74666666666667,results\reward_15x15_obs7_mix3_trial1.png,results\reward_15x15_obs7_mix3_trial2.png
c15,15x15,3,9,93.0,91.0,92.0,89.2,93.0,91.0,86.0,86.0,89.0,89.3,22.290000000000003,22.27666666666667,results\reward_15x15_obs9_mix3_trial1.png,results\reward_15x15_obs9_mix3_trial2.png
c16,15x15,4,6,96.0,94.0,95.0,93.5,96.0,94.0,92.0,92.0,94.2,92.8,16.67,18.5875,results\reward_15x15_obs6_mix4_trial1.png,results\reward_15x15_obs6_mix4_trial2.png
c17,15x15,4,8,96.0,92.0,94.0,92.0,96.0,92.0,93.0,88.0,94.0,90.0,17.1725,21.2725,results\reward_15x15_obs8_mix4_trial1.png,results\reward_15x15_obs8_mix4_trial2.png
c18,15x15,4,10,95.0,93.0,94.0,91.0,93.0,95.0,85.0,89.0,89.8,92.2,21.5775,18.5275,results\reward_15x15_obs10_mix4_trial1.png,results\reward_15x15_obs10_mix4_trial2.png
